"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height
384497248192;;;;"Сливочное масло";"310 г. Масло «Крестьянское» «ЕлМай» сливочное";"Без ЗМЖ, 72,5 %, 300 г.";"Цена указана за 300 г. продукции.<br />Вес указан с упаковкой (310 г.).<br /><br />Производитель: СПССК «Елмай», Россия<br /><br />Пищевая ценность на 100 г. продукта: <br />белок: 1,0 г.<br />жир: 72,5 г.<br />углеводы: 1,4 г.<br />кКал: 662<br /><br />Срок годности: 12 месяцев.<br />Условия хранения: хранить при температуре от 2 °С до 6 °C.<br /><br />Состав: Пастеризованные сливки.";https://static.tildacdn.com/stor6439-3836-4666-b436-613635636331/66336364.png;318.75;;;;;dpJ03HAdTxLJsKGrT90d;;310;0;0;0
237807851612;;;;"Сливочное масло";"190 г. Масло «Традиционное» «ЭкоМилк» сливочное, несолёное";"Высший сорт, 82,5 %, 180 г.";"Цена указана за 180 г. продукции.<br />Вес указан с упаковкой (190 г.).<br /><br />Производитель: АО «Озерецкий молочный комбинат», Россия.<br /><br />Пищевая ценность на 100 г. продукта:<br />белок: 0,6 г.<br />жир: 82,5 г.<br />углеводы: 0,8 г.<br />кКал: 748<br /><br />Срок годности: 2 месяца.<br />Условия хранения: хранить при температуре от 2 °С до 6 °C.<br /><br />Состав: Высокожирные пастеризованные сливки.";https://static.tildacdn.com/stor6565-6264-4137-b165-303430663230/71705987.png;312.00;;;;;3l7Y3CTz2R2c2dRSzm4s;;190;0;0;0
649478999152;;;;"Сливочное масло";"190 г. Масло «Сливочное» «Брест-Литовск» несолёное";"Без ЗМЖ, 82,5 %, 180 г.";"Цена указана за 180 г. продукции.<br />Вес указан с упаковкой (190 г.).<br /><br />Производитель: ОАО «Савушкин продукт», Беларусь.<br /><br />Пищевая ценность на 100 г. продукта:<br />белок: 0,5 г.<br />жир: 82,5 г.<br />углеводы: 0,8 г.<br />кКал: 748<br /><br />Срок годности: 2 месяца.<br />Условия хранения: хранить при температуре не выше 5 °C.<br /><br />Состав: Сливки пастеризованные.";https://static.tildacdn.com/stor3762-3562-4466-b431-643764626131/96236517.png;263.20;;;;;RdhoAI6zI8zcBNtMfNcu;;190;0;0;0
312701372672;;;;"Сливочное масло";"160 г. Масло «Life» «Лента» сливочное, безлактозное";"Без ЗМЖ, 82,5 %, 150 г.";"Цена указана за 150 г. продукции.<br />Вес указан с упаковкой (160 г.).<br /><br />Производитель: ООО «Невские сыры», Россия.<br /><br />Пищевая ценность на 100 г. продукта: <br />белок: 0,6 г. <br />жир: 82,5 г.<br />углеводы: 0,8 г.<br />кКал: 650<br /><br />Срок годности: 10 суток.<br />Условия хранения: хранить при температуре от 2 °С до 6 °C.<br /><br />Состав: Сливки нормализованные пастеризованные, фермент расщепляющий лактозу.";https://static.tildacdn.com/stor3331-3630-4632-b664-646339366639/61458997.png;229.99;;;;;Lo4VMUDYVZZ9hh2uZmuX;;160;0;0;0
505489081502;;;;Сгущёнка;"280 г. Продукт молокосодержащий «Карламанская» сгущённый с сахаром";"Без ЗМЖ, 1%, 270 г.";"Цена указана за 270 г. продукции<br />Вес указан с упаковкой (280 г.). <br /><br />Производитель: ЗАО «Алексеевский молочноконсервный комбинат», Россия. <br /><br />Пищевая ценность на 100 г. продукта:<br />белок: 2,5 г.<br />жир: 1,0 г.<br />углеводы: 63,0 г. <br />кКал: 270 <br /><br />Срок годности: 12 месяцев. <br />Условия хранения: хранить при температуре от 0 °С до 10 °С и относительной влажности воздуха не выше 75%. <br /><br />Состав: Сыворотка молочная концентрированная, сахар (сахароза), цельное молоко, сахар молочный (лактоза).";https://static.tildacdn.com/stor3739-3737-4334-b636-353830303866/32025864.png;88.80;0;;;;KM2j6kIOOsDhOE8l8f96;;280;0;0;0
484705280752;;;;Сгущёнка;"280 г. Цельное сгущённое молоко «Карламанское» с сахаром";"Без ЗМЖ, 8,5%, 270 г.";"Цена указана за 270 г. продукции.<br />Вес указан с упаковкой (280 г.).<br /><br />Производитель: ЗАО «Алесеевский молочноконсервный комбинат», Россия.<br /><br />Пищевая ценность на 100 г. продукта: <br />белок: 7,0 г. <br />жир: 8,5 г.<br />углеводы: 56,0 г.<br />кКал: 330.<br /><br />Срок годности: 18 месяцев.<br />Условия хранения: хранить при температуре от 0 °С до 10 °С и относительной влажности воздуха не выше 85%.<br />После вскрытия упаковки продукт хранить в закрытом виде при температуре от 0 °С до 10 °С.<br /><br />Состав: Нормализованное молоко, сахар белый (сахароза), сахар молочный пищевой (лактоза).";https://static.tildacdn.com/stor3637-3566-4632-b938-356666306338/67596343.png;136.80;0;;;;FPXbuMBnFhKKf1RB1VPP;;280;0;0;0
520389570952;;;;Сгущёнка;"665 г. Цельное сгущённое молоко «Алексеевское» с сахаром";"Без ЗМЖ, 8,5%, 650 г.";"Цена указана за 650 г. продукции.<br />Вес указан с упаковкой (665 г.).<br /><br />Производитель: ЗАО «Алексеевский молочноконсервный комбинат», Россия.<br /><br />Пищевая ценность на 100 г. продукта: <br />белок: 7,0 г. <br />жир: 8,5 г.<br />углеводы: 56,0 г.<br />кКал: 330<br /><br />Срок годности: 12 месяцев.<br />Условия хранения: при температуре (23±2) °C и относительной влажности воздуха не выше 85%. После вскрытия упаковки продукт хранить в закрытом виде при температуре от 0 °С до 10 °С.<br /><br />Состав: Молоко нормализованное, сахар белый (сахароза), сахар молочный пищевой (лактоза).";https://static.tildacdn.com/stor3230-3437-4136-b764-643233376234/98934167.png;387.00;0;;;;HU6AuV5VXov1b0B8gAKz;;665;0;0;0
800440809772;;;;Сгущёнка;"285 г. Цельное сгущённое молоко «Алексеевское» с сахаром";"Без ЗМЖ, 8,5%, 650 г.";"Цельное сгущённое молоко «Алексеевское» с сахаром<br />Без ЗМЖ, 8,5 %, 270 г.<br /><br />Цена указана за 270 г. продукции.<br />Вес указан с упаковкой (285 г.).<br /><br />Производитель: ЗАО «Алексеевский молочноконсервный комбинат», Россия.<br /><br />Пищевая ценность на 100 г. продукта:<br />белок: 7,0 г.<br />жир: 8,5 г. <br />углеводы: 56,0 г.<br />кКал: 330<br /><br />Срок годности: 12 месяцев.<br />Условия хранения: при температуре (23+2) °С и относительной влажности воздуха не выше 85%. После вскрытия упаковки продукт хранить в закрытом виде при температуре от 0 °С до 10 °С.<br /><br />Состав: Молоко нормализованное, сахар белый (сахароза), сахар молочный пищевой (лактоза).";https://static.tildacdn.com/stor6431-6530-4331-b661-393936393131/11342046.png;162.50;0;;;;n6fIc61lVGxU75Jj6dXp;;285;0;0;0
869835633062;;;;Сгущёнка;"280 г. Молоко сгущённое «Густияр» с сахаром";"Без ЗМЖ, 0,2%, 270 г.";"Цена указана за 270 г. продукции.<br />Вес указан с упаковкой (280 г.).<br /><br />Производитель: ЗАО «Алексеевский молочноконсервный комбинат», Россия.<br /><br />Пищевая ценность на 100 г. продукта:<br />белок: 5,0 г.<br />жир: 0,2 г. <br />углеводы: 57,0 г.<br />кКал: 250<br /><br />Срок годности: 12 месяцев.<br />Условия хранения: хранить при температуре от 0 °С до 10 °C.<br /><br />Состав: Молоко нормализованное, сахар (сахароза), сахар молочный пищевой (лактоза).";https://static.tildacdn.com/stor3733-3034-4138-b362-663765346636/16645064.png;84.00;;;;;mttSVGNPKOolMbd2ZjA4;;280;0;0;0
889583857152;;;;Сгущёнка;"285 г. Цельное молоко сгущённое «ГлавПродукт» с сахаром";"Без ЗМЖ, 270 г.";"Цена указана за 270 г. продукции.<br />Вес указан с упаковкой (285 г.).<br /><br />Производитель: АО «Верховский молочно-консервный завод», Россия.<br /><br />Пищевая ценность на 100 г. продукта:<br />белок: 5,0 г.<br />жир: 8,5 г. <br />углеводы: 56,0 г.<br />ккал: 320,5<br /><br />Срок годности: 8 месяцев.<br />Условия хранения: хранить при температуре не более 20°C.<br /><br />Состав: Цельное коровье молоко, сахар (сахароза).";https://static.tildacdn.com/stor3661-3630-4134-a562-323136656462/35277183.png;148.50;;;;;6f05RIry63Pd1OFt1H7c;;285;0;0;0
195704581332;;;;Сгущёнка;"635 г. Цельное молоко сгущённое «ГлавПродукт» с сахаром";"Без ЗМЖ, ГОСТ, 600 г.";"Цена указана за 600 г. продукции.<br />Вес указан с упаковкой (635 г.).<br /><br />Производитель: АО «Верховский молочно-консервный завод», Россия.<br /><br />Пищевая ценность на 100 г. продукта:<br />белок: 5,0 г.<br />жир: 8,5 г.<br />углеводы: 56,0 г.<br />кКал: 320,5<br /><br />Срок годности: 1 г.<br />Условия хранения: хранить при температуре от 0 °С до 10 °С и относительной влажности воздуха не более 85 %.<br /><br />Состав: Цельное коровье молоко, сахар (сахароза).";https://static.tildacdn.com/stor3461-3435-4564-b565-643235613135/88556704.png;266.80;;;;;V2MLdGOBucx5SYM3mnsB;;635;0;0;0
